"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Derrick White","https://www.nba.com/stats/player/1628401/","BOS","https://www.nba.com/stats/team/1610612738/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-4","190","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2017","https://www.nba.com/stats/players/traditional/?DraftYear=2017","1","29","73.0","15.2","4.2","5.2","12.5","2.2","10.0","18.3","61.1","20.9"
"Desmond Bane","https://www.nba.com/stats/player/1630217/","MEM","https://www.nba.com/stats/team/1610612763/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-5","215","TCU","https://www.nba.com/stats/players/traditional/?College=TCU","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","30","42.0","23.7","4.4","5.5","-7.2","2.3","10.4","27.3","58.9","27.2"
"Devin Booker","https://www.nba.com/stats/player/1626164/","PHX","https://www.nba.com/stats/team/1610612756/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-6","206","Kentucky","https://www.nba.com/stats/players/traditional/?College=Kentucky","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2015","https://www.nba.com/stats/players/traditional/?DraftYear=2015","1","13","68.0","27.1","4.5","6.9","5.8","2.4","9.8","28.9","61.1","29.9"
"Devin Vassell","https://www.nba.com/stats/player/1630170/","SAS","https://www.nba.com/stats/team/1610612759/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-5","200","Florida State","https://www.nba.com/stats/players/traditional/?College=Florida%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","11","68.0","19.5","3.8","4.1","-6.0","1.2","10.2","22.9","57.8","19.2"
"Devonte' Graham","https://www.nba.com/stats/player/1628984/","SAS","https://www.nba.com/stats/team/1610612759/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-1","195","Kansas","https://www.nba.com/stats/players/traditional/?College=Kansas","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","2","34","23.0","5.0","1.6","2.1","3.3","1.6","9.5","17.5","49.5","21.9"
"Dexter Dennis","https://www.nba.com/stats/player/1641926/","DAL","https://www.nba.com/stats/team/1610612742/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-5","210","Texas A&M","https://www.nba.com/stats/players/traditional/?College=Texas%20A&M","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","4.0","5.5","2.3","1.0","-11.0","2.5","21.1","27.8","54.1","36.4"
"Dillon Brooks","https://www.nba.com/stats/player/1628415/","HOU","https://www.nba.com/stats/team/1610612745/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-6","225","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","Canada","https://www.nba.com/stats/players/traditional/?Country=Canada","2017","https://www.nba.com/stats/players/traditional/?DraftYear=2017","2","45","72.0","12.7","3.4","1.7","0.0","2.3","8.4","17.6","54.9","7.4"
"Dmytro Skapintsev","https://www.nba.com/stats/player/1631376/","NYK","https://www.nba.com/stats/team/1610612752/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","7-1","215","SK Cherkasy Monkey","https://www.nba.com/stats/players/traditional/?College=SK%20Cherkasy%20Monkey","Ukraine","https://www.nba.com/stats/players/traditional/?Country=Ukraine","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","2.0","0.0","0.0","0.0","15.0","0.0","0.0","25.0","0.0","0.0"
"Domantas Sabonis","https://www.nba.com/stats/player/1627734/","SAC","https://www.nba.com/stats/team/1610612758/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-10","240","Gonzaga","https://www.nba.com/stats/players/traditional/?College=Gonzaga","Lithuania","https://www.nba.com/stats/players/traditional/?Country=Lithuania","2016","https://www.nba.com/stats/players/traditional/?DraftYear=2016","1","11","82.0","19.4","13.7","8.2","0.8","9.7","29.5","22.0","63.7","33.4"
"Dominick Barlow","https://www.nba.com/stats/player/1631230/","SAS","https://www.nba.com/stats/team/1610612759/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-9","215","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","33.0","4.4","3.4","1.1","-4.5","9.8","16.7","13.9","54.8","11.4"
