,,,,,,Per Game,,,,,,Shooting,,,Advanced,
Year,Player,Team,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2008,Asjha Jones,2nd,(V),CON,33,29.2,17,6.1,2.5,0.6,0.8,0.484,0.217,0.791,4.8,0.238
2008,Deanna Nolan,2nd,(V),DET,34,33.6,15.8,3.9,4.4,1.2,0.3,0.465,0.374,0.863,5.3,0.223
2007,Becky Hammon,1st,(V),SAS,28,33.4,18.8,2.8,5,0.8,0.2,0.445,0.404,0.931,3.7,0.19
2007,Lauren Jackson,1st,(V),SEA,31,32.9,23.8,9.7,1.3,1,2,0.519,0.402,0.883,9.5,0.448
2007,Deanna Nolan,1st,(V),DET,34,34.6,16.3,4.4,3.9,1.4,0.4,0.46,0.393,0.823,5.4,0.221
2007,Diana Taurasi,1st,(V),PHO,32,32,19.2,4.2,4.3,1.4,1.1,0.44,0.367,0.835,4.5,0.213
2007,Penny Taylor,1st,(V),PHO,34,29.7,17.8,6.3,2.9,1.5,0.6,0.499,0.378,0.884,6.4,0.306
2007,Seimone Augustus,2nd,(V),MIN,34,32.1,22.6,4,2.3,1.2,0.6,0.508,0.419,0.873,6.1,0.269
2007,Tamika Catchings,2nd,(V),IND,21,32.3,16.6,9,4.7,3.1,1,0.417,0.311,0.82,5.5,0.39
2007,Katie Douglas,2nd,(V),CON,34,33.3,17,4.6,3.7,1.9,0.3,0.428,0.338,0.779,4.8,0.201
2007,Tina Thompson,2nd,(V),HOU,34,36.3,18.8,6.7,2.8,0.9,0.7,0.42,0.4,0.834,4.5,0.175
2007,Sophia Young-Malcolm,2nd,(V),SAS,33,33.5,16.8,5.8,1.5,1.5,0.4,0.478,0,0.749,5.1,0.219
2006,Tamika Catchings,1st,(V),IND,32,33.5,16.3,7.5,3.7,2.9,1.1,0.407,0.299,0.809,7.7,0.345
2006,Katie Douglas,1st,(V),CON,32,31.3,16.4,3.8,2.5,1.9,0.1,0.443,0.422,0.839,5.6,0.268
2006,Lauren Jackson,1st,(V),SEA,30,28.4,19.4,7.6,1.6,0.8,1.7,0.535,0.377,0.899,8.8,0.497
2006,Lisa Leslie,1st,(V),LAS,34,30.8,20,9.5,3.2,1.5,1.7,0.511,0.4,0.65,6.4,0.291
2006,Diana Taurasi,1st,(V),PHO,34,33.9,25.3,3.6,4.1,1.2,0.8,0.452,0.397,0.781,6.8,0.283
2006,Seimone Augustus,2nd,(V),MIN,34,33.1,21.9,3.8,1.5,0.6,0.5,0.456,0.353,0.897,3.9,0.166
2006,Alana Beard,2nd,(V),WAS,32,31.3,19.2,4.7,3.1,1.8,0.8,0.495,0.363,0.758,5.3,0.253
2006,Cheryl Ford,2nd,(V),DET,32,28.7,13.8,11.3,1.4,1.2,0.8,0.498,,0.648,6.6,0.344
2006,Taj McWilliams-Franklin,2nd,(V),CON,32,31.1,12.8,9.6,2.5,1.1,1,0.498,0.125,0.736,5.2,0.252
2006,Sheryl Swoopes,2nd,(V),HOU,31,35.8,15.5,5.9,3.7,2.1,0.3,0.413,0.278,0.764,4.4,0.19
2005,Sue Bird,1st,(V),SEA,30,34,12.1,2.4,5.9,1,0.2,0.442,0.437,0.855,3.4,0.16
2005,Yolanda Griffith,1st,(V),SAC,34,28.3,13.8,6.6,1.5,1.2,0.9,0.485,,0.707,6.4,0.321
